,,Initial (AGL),Initial,Final (AGL),Final,Conjunct (AGL),Conjunct,Initial Unicode,Halant Unicode,Final Unicode,,Name (AGL),Name,Prod. Name,Notes,GlyphData.xml,
gujarati,uni,KH,kh,PHa,pha,KHPHa,kh_pha,0A96,0ACD,0AAB,0A960ACD0AAB,gjKHPHa,kh_pha-gujarati,uni0A960ACD0AAB,Composite,"<glyph name=""kh_pha-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A960ACD0AAB"" altnames=""gjKHPHa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,KH,kh,Ba,ba,KHBa,kh_ba,0A96,0ACD,0AAC,0A960ACD0AAC,gjKHBa,kh_ba-gujarati,uni0A960ACD0AAC,Half form,,
gujarati,uni,KH,kh,BHa,bha,KHBHa,kh_bha,0A96,0ACD,0AAD,0A960ACD0AAD,gjKHBHa,kh_bha-gujarati,uni0A960ACD0AAD,/,,
gujarati,uni,KH,kh,Ma,ma,KHMa,kh_ma,0A96,0ACD,0AAE,0A960ACD0AAE,gjKHMa,kh_ma-gujarati,uni0A960ACD0AAE,Half form,,
gujarati,uni,KH,kh,Ya,ya,KHYa,kh_ya,0A96,0ACD,0AAF,0A960ACD0AAF,gjKHYa,kh_ya-gujarati,uni0A960ACD0AAF,Half form,,
gujarati,uni,KH,kh,Ra,ra,KHRa,kh_ra,0A96,0ACD,0AB0,0A960ACD0AB0,gjKHRa,kh_ra-gujarati,uni0A960ACD0AB0,Composite,"<glyph name=""kh_ra-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A960ACD0AB0"" altnames=""gjKHRa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,KH,kh,La,la,KHLa,kh_la,0A96,0ACD,0AB2,0A960ACD0AB2,gjKHLa,kh_la-gujarati,uni0A960ACD0AB2,Half form,,
gujarati,uni,KH,kh,LLa,lla,KHLLa,kh_lla,0A96,0ACD,0AB3,0A960ACD0AB3,gjKHLLa,kh_lla-gujarati,uni0A960ACD0AB3,/,,
gujarati,uni,KH,kh,Va,va,KHVa,kh_va,0A96,0ACD,0AB5,0A960ACD0AB5,gjKHVa,kh_va-gujarati,uni0A960ACD0AB5,Half form,,
gujarati,uni,KH,kh,SHa,sha,KHSHa,kh_sha,0A96,0ACD,0AB6,0A960ACD0AB6,gjKHSHa,kh_sha-gujarati,uni0A960ACD0AB6,/,,
gujarati,uni,KH,kh,SSa,ssa,KHSSa,kh_ssa,0A96,0ACD,0AB7,0A960ACD0AB7,gjKHSSa,kh_ssa-gujarati,uni0A960ACD0AB7,/,,
gujarati,uni,KH,kh,Sa,sa,KHSa,kh_sa,0A96,0ACD,0AB8,0A960ACD0AB8,gjKHSa,kh_sa-gujarati,uni0A960ACD0AB8,/,,
gujarati,uni,KH,kh,Ha,ha,KHHa,kh_ha,0A96,0ACD,0AB9,0A960ACD0AB9,gjKHHa,kh_ha-gujarati,uni0A960ACD0AB9,/,,
,,,,,,,_,,,,,gj,_-,,,,
gujarati,uni,G,g,Ka,ka,GKa,g_ka,0A97,0ACD,0A95,0A970ACD0A95,gjGKa,g_ka-gujarati,uni0A970ACD0A95,/,,
gujarati,uni,G,g,KHa,kha,GKHa,g_kha,0A97,0ACD,0A96,0A970ACD0A96,gjGKHa,g_kha-gujarati,uni0A970ACD0A96,/,,
gujarati,uni,G,g,Ga,ga,GGa,g_ga,0A97,0ACD,0A97,0A970ACD0A97,gjGGa,g_ga-gujarati,uni0A970ACD0A97,Half form,,
gujarati,uni,G,g,GHa,gha,GGHa,g_gha,0A97,0ACD,0A98,0A970ACD0A98,gjGGHa,g_gha-gujarati,uni0A970ACD0A98,Half form,,
gujarati,uni,G,g,NGa,nga,GNGa,g_nga,0A97,0ACD,0A99,0A970ACD0A99,gjGNGa,g_nga-gujarati,uni0A970ACD0A99,/,,
gujarati,uni,G,g,Ca,ca,GCa,g_ca,0A97,0ACD,0A9A,0A970ACD0A9A,gjGCa,g_ca-gujarati,uni0A970ACD0A9A,/,,
gujarati,uni,G,g,CHa,cha,GCHa,g_cha,0A97,0ACD,0A9B,0A970ACD0A9B,gjGCHa,g_cha-gujarati,uni0A970ACD0A9B,/,,
gujarati,uni,G,g,Ja,ja,GJa,g_ja,0A97,0ACD,0A9C,0A970ACD0A9C,gjGJa,g_ja-gujarati,uni0A970ACD0A9C,/,,
gujarati,uni,G,g,JHa,jha,GJHa,g_jha,0A97,0ACD,0A9D,0A970ACD0A9D,gjGJHa,g_jha-gujarati,uni0A970ACD0A9D,/,,
gujarati,uni,G,g,NYa,nya,GNYa,g_nya,0A97,0ACD,0A9E,0A970ACD0A9E,gjGNYa,g_nya-gujarati,uni0A970ACD0A9E,/,,
gujarati,uni,G,g,TTa,tta,GTTa,g_tta,0A97,0ACD,0A9F,0A970ACD0A9F,gjGTTa,g_tta-gujarati,uni0A970ACD0A9F,/,,
gujarati,uni,G,g,TTHa,ttha,GTTHa,g_ttha,0A97,0ACD,0AA0,0A970ACD0AA0,gjGTTHa,g_ttha-gujarati,uni0A970ACD0AA0,/,,
gujarati,uni,G,g,DDa,dda,GDDa,g_dda,0A97,0ACD,0AA1,0A970ACD0AA1,gjGDDa,g_dda-gujarati,uni0A970ACD0AA1,/,,
